# Splatt2 Target Definition — issf_10m_air_pistol
key,issf_10m_air_pistol
name,issf 10m air pistol
gauging,outward
calibre_mm,4.5
reference_dist_m,10.0
aiming_mark_dia_mm,5.0
card_diameter_mm,155.5

score,ring_diameter_mm
10,5.0
10,11.5
9,27.5
8,43.5
7,59.5
6,75.5
5,91.5
4,107.5
3,123.5
2,139.5
1,155.5
